feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,29904.295097334878,122466.35439376219
events_per_second,7003.71048783314,7617.3744610136455
seq_length,9.296639629200463,10.367446393762183
unique_syscalls,3.033603707995365,3.1267056530214425
uid_is_root,1.0,0.9990253411306043
uid_changed,0.21784472769409038,0.2202729044834308
euid_root,1.0,0.9990253411306043
max_uid_euid_delta,12.778679026651217,9.760233918128655
is_suid_exec,0.002317497103128621,0.00682261208576998
auid_euid_mismatch,0.17960602549246812,0.1023391812865497
ephemeral_privileged,0.9791425260718424,0.9483430799220273
failed_call_rate,0.8616216685979143,0.8677847953216374
failed_call_count,7.984936268829664,8.949317738791423
priv_op_count,0.046349942062572425,0.0029239766081871343
exec_count,2.5990730011587484,3.142300194931774
file_access_count,0.2908458864426419,0.35185185185185186
network_count,0.09269988412514485,0.02631578947368421
shell_from_service,0.0,0.0
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9898180266512167,0.984979133528265
