feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
ephemeral_privileged,2980,61781,0.09496644295302013,0.967773263624739,-3.60606488378157,3.60606488378157
lifetime_seconds,2980,61781,372041.9385761745,14163.912086369595,2.860468150120933,2.860468150120933
events_per_second,2980,61781,477.9872902684564,6341.842904857481,-1.6419135908374074,1.6419135908374074
unique_syscalls,2980,61781,3.5751677852348993,2.9477509266603,0.8777383739721459,0.8777383739721459
failed_call_rate,2980,61781,0.714448187919463,0.8188969230022177,-0.6331477846022716,0.6331477846022716
parent_child_rarity,2980,61781,0.9895827942953019,0.9137123275764392,0.6103224113776761,0.6103224113776761
seq_length,2980,61781,12.579194630872482,7.214564348262411,0.48034632773143376,0.48034632773143376
uid_changed,2980,61781,0.17181208053691274,0.04273158414399249,0.42643960106140427,0.42643960106140427
failed_call_count,2980,61781,8.084228187919463,6.19271297000696,0.2852320767171994,0.2852320767171994
file_access_count,2980,61781,0.4771812080536913,0.0,0.23198073006649847,0.23198073006649847
auid_euid_mismatch,2980,61781,0.05402684563758389,0.017934316375584725,0.1946855277880474,0.1946855277880474
exec_count,2980,61781,2.4338926174496645,2.561143393599974,-0.06331126408421127,0.06331126408421127
uid_is_root,2980,61781,0.9993288590604027,1.0,-0.03664331605982912,0.03664331605982912
euid_root,2980,61781,0.9993288590604027,1.0,-0.03664331605982912,0.03664331605982912
shell_from_service,2980,61781,0.0003355704697986577,0.0,0.02590638800754199,0.02590638800754199
is_suid_exec,2980,61781,0.0003355704697986577,9.711723669089202e-05,0.016211935961813542,0.016211935961813542
max_uid_euid_delta,2980,61781,0.33624161073825504,0.2591735323157605,0.004463612881591481,0.004463612881591481
priv_op_count,2980,61781,0.0,0.0,,
network_count,2980,61781,0.0,0.0,,
sensitive_path_access,2980,61781,0.0,0.0,,
