feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,66585.84864956737,57742.538206139434
events_per_second,5512.061089822827,4142.276657750633
seq_length,11.338689740420271,7.751737573715249
unique_syscalls,3.727235269880511,3.4520850884582983
uid_is_root,0.9969097651421508,0.9998946925021062
uid_changed,0.4009064688916358,0.7040332771693345
euid_root,0.9969097651421508,0.9998946925021062
max_uid_euid_delta,0.8378656777915121,0.05802443133951137
is_suid_exec,0.0008240626287597857,0.00021061499578770007
auid_euid_mismatch,0.0173053152039555,0.007898062342038752
ephemeral_privileged,0.9643592913061393,0.859572451558551
failed_call_rate,0.8489976720230737,0.7966764532434711
failed_call_count,9.570457354758961,6.027853833192923
priv_op_count,0.049443757725587144,0.0069502948609941025
exec_count,3.442109600329625,1.8359309182813817
file_access_count,0.200041203131438,0.0711352148272957
network_count,0.5945611866501854,0.17923336141533278
shell_from_service,0.0,0.00010530749789385004
sensitive_path_access,0.0,0.0
parent_child_rarity,0.8536691950968273,0.9907972027695873
