feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
uid_changed,753,64008,0.39575033200531207,0.04458817647794026,0.9351022109259514,0.9351022109259514
unique_syscalls,753,64008,3.349269588313413,2.9722378452693414,0.6167173633558656,0.6167173633558656
parent_child_rarity,753,64008,0.9888769561752989,0.9163603563460816,0.5849152831215807,0.5849152831215807
lifetime_seconds,753,64008,7184.917932270916,30907.62695853643,-0.26744006839361123,0.26744006839361123
failed_call_rate,753,64008,0.8365504648074371,0.8138264576302963,0.23876661490030204,0.23876661490030204
ephemeral_privileged,753,64008,0.9760956175298805,0.9270403699537558,0.2299725639962518,0.2299725639962518
exec_count,753,64008,2.240371845949535,2.5589926259217597,-0.19310032754877182,0.19310032754877182
failed_call_count,753,64008,7.0225763612217795,6.271012998375203,0.18423218678014328,0.18423218678014328
file_access_count,753,64008,0.17662682602921648,0.020138107736532934,0.17842380397150706,0.17842380397150706
seq_length,753,64008,8.309428950863214,7.451443569553806,0.16940625948686294,0.16940625948686294
is_suid_exec,753,64008,0.009296148738379814,0.0,0.13690081585366265,0.13690081585366265
max_uid_euid_delta,753,64008,9.314741035856574,0.15623047119110112,0.13348336140259717,0.13348336140259717
uid_is_root,753,64008,0.99867197875166,0.9999843769528809,-0.050633560543880525,0.050633560543880525
euid_root,753,64008,0.99867197875166,0.9999843769528809,-0.050633560543880525,0.050633560543880525
auid_euid_mismatch,753,64008,0.02656042496679947,0.01951318585176853,0.04697007701887349,0.04697007701887349
shell_from_service,753,64008,0.0,1.562304711911011e-05,-0.005589820590879478,0.005589820590879478
events_per_second,753,64008,6055.354010624171,6072.2115526184225,-0.004605706125101828,0.004605706125101828
priv_op_count,753,64008,0.0,0.0,,
network_count,753,64008,0.0,0.0,,
sensitive_path_access,753,64008,0.0,0.0,,
