feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,2048.1165898251193,215063.32047570532
events_per_second,6767.064810810811,7001.892465517241
seq_length,7.51510333863275,9.62460815047022
unique_syscalls,3.0731319554848966,3.170062695924765
uid_is_root,1.0,0.9882445141065831
uid_changed,0.22019077901430842,0.1974921630094044
euid_root,1.0,0.9882445141065831
max_uid_euid_delta,7.971383147853736,7.847962382445141
is_suid_exec,0.001589825119236884,0.0054858934169279
auid_euid_mismatch,0.031001589825119236,0.050156739811912224
ephemeral_privileged,0.9952305246422893,0.9231974921630094
failed_call_rate,0.8372024642289347,0.853725313479624
failed_call_count,6.47456279809221,8.253134796238244
priv_op_count,0.009538950715421303,0.02664576802507837
exec_count,2.399841017488076,2.8636363636363638
file_access_count,0.021462639109697933,0.3299373040752351
network_count,0.0,0.0219435736677116
shell_from_service,0.0,0.0007836990595611285
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9895055842607313,0.9854616904388714
