feature,rf_wrong_xgb_right_mean,rf_right_xgb_wrong_mean
lifetime_seconds,222307.8001353093,553.3763159609119
events_per_second,5580.3844342783495,6167.377972855592
seq_length,8.056701030927835,6.55700325732899
unique_syscalls,3.131443298969072,3.0846905537459284
uid_is_root,0.9819587628865979,1.0
uid_changed,0.10438144329896908,0.1563517915309446
euid_root,0.9819587628865979,1.0
max_uid_euid_delta,1.288659793814433,0.0
is_suid_exec,0.0,0.0
auid_euid_mismatch,0.19329896907216496,0.08143322475570032
ephemeral_privileged,0.9252577319587629,0.998914223669924
failed_call_rate,0.833314819587629,0.8222228013029317
failed_call_count,6.728092783505154,5.565689467969598
priv_op_count,0.08247422680412371,0.0054288816503800215
exec_count,2.1288659793814433,2.1693811074918568
file_access_count,0.36597938144329895,0.0
network_count,0.10438144329896908,0.0
shell_from_service,0.001288659793814433,0.0
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9928000670103092,0.9925487448425625
