feature,xgb_wrong_iforest_right_mean,xgb_right_iforest_wrong_mean
lifetime_seconds,6875.778297339592,55631.29268905622
events_per_second,6418.360405320814,4197.770057680724
seq_length,7.004694835680751,7.634487951807229
unique_syscalls,3.0938967136150235,3.4515562248995986
uid_is_root,1.0,0.9998995983935743
uid_changed,0.215962441314554,0.696987951807229
euid_root,1.0,0.9998995983935743
max_uid_euid_delta,7.846635367762128,0.21119477911646586
is_suid_exec,0.001564945226917058,0.000251004016064257
auid_euid_mismatch,0.04538341158059468,0.00853413654618474
ephemeral_privileged,0.9788732394366197,0.8646586345381526
failed_call_rate,0.8233986697965571,0.7958035993975905
failed_call_count,5.912363067292644,5.933182730923694
priv_op_count,0.010172143974960876,0.007931726907630523
exec_count,2.111111111111111,1.7897088353413655
file_access_count,0.06572769953051644,0.0715863453815261
network_count,0.0,0.17560240963855422
shell_from_service,0.0,0.00015060240963855423
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9896876791862286,0.9909470287650602
