feature,rf_wrong_iforest_right_mean,rf_right_iforest_wrong_mean
lifetime_seconds,168336.20837233055,55813.78417242246
events_per_second,6010.237762302693,4190.481162555377
seq_length,8.152274837511607,7.636629077728554
unique_syscalls,3.2079851439182914,3.4568566250503423
uid_is_root,0.9870009285051068,0.9998993153443415
uid_changed,0.18012999071494892,0.6979963753523963
euid_root,0.9870009285051068,0.9998993153443415
max_uid_euid_delta,10.239554317548746,0.21179017317760773
is_suid_exec,0.0018570102135561746,0.00025171163914619414
auid_euid_mismatch,0.18848653667595172,0.012082158679017317
ephemeral_privileged,0.9210770659238626,0.8642267418445428
failed_call_rate,0.8338345403899722,0.795849723117197
failed_call_count,6.7994428969359335,5.933397100281917
priv_op_count,0.06685236768802229,0.007954087797019734
exec_count,1.9916434540389971,1.7843334675795408
file_access_count,0.33147632311977715,0.07123439387837294
network_count,0.07520891364902507,0.1760974627466774
shell_from_service,0.0009285051067780873,0.00015102698348771646
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9920732107706591,0.9910909861558599
