feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
failed_call_rate,3131,61630,0.870810284254232,0.8112091416517929,0.6559924270487856,0.6559924270487856
failed_call_count,3131,61630,8.030341743851805,6.190816160960571,0.5783650653658995,0.5783650653658995
exec_count,3131,61630,3.353880549345257,2.5147168586727244,0.5778617107429324,0.5778617107429324
uid_changed,3131,61630,0.21622484829128075,0.04015901346746714,0.5458615909096548,0.5458615909096548
seq_length,3131,61630,9.087192590226765,7.378825247444427,0.43959507393180397,0.43959507393180397
parent_child_rarity,3131,61630,0.9641426212072819,0.914818878630537,0.3894800960331347,0.3894800960331347
ephemeral_privileged,3131,61630,0.9904183966783775,0.9244199253610255,0.3313167739309957,0.3313167739309957
lifetime_seconds,3131,61630,3845.010947620569,31992.6480656823,-0.32705409180505574,0.32705409180505574
events_per_second,3131,61630,7028.254751517087,6023.435550916762,0.2767371011662768,0.2767371011662768
unique_syscalls,3131,61630,3.0338549984030663,2.97371410027584,0.182773703861957,0.182773703861957
auid_euid_mismatch,3131,61630,0.005429575215586075,0.020314781762128833,-0.13233455489755763,0.13233455489755763
shell_from_service,3131,61630,0.00031938677738741617,0.0,0.025273969905316267,0.025273969905316267
max_uid_euid_delta,3131,61630,0.6387735547748323,0.2436151225052734,0.018813263061479773,0.018813263061479773
is_suid_exec,3131,61630,0.0,0.00011358104819081616,-0.015072631299860584,0.015072631299860584
uid_is_root,3131,61630,1.0,0.9999675482719455,0.008056333487262821,0.008056333487262821
euid_root,3131,61630,1.0,0.9999675482719455,0.008056333487262821,0.008056333487262821
file_access_count,3131,61630,0.025231555413605878,0.02179133538860944,0.006767000632186721,0.006767000632186721
priv_op_count,3131,61630,0.0,0.0,,
network_count,3131,61630,0.0,0.0,,
sensitive_path_access,3131,61630,0.0,0.0,,
