model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
xgb,CAM-LDS,CasinoLimit,0,42,17,0.9365925664808654,0.9872072332034819,0.7889841257639236,0.8770348216193121,0.004107410324114822,0.9612349564438459,0.8288618418182612,0.5555555555555556,0.0003186133945071051,0.0006368615462998344,5.263227147725628e-05,0.9604946121149792,0.8763979600730123,0.9655870445344129,0.9781121751025992,0.9859976662777129,0.9820390913893291,0.45916114790286977,0.797377829076269,81812,0.9814022298430293
xgb,CAM-LDS,CasinoLimit,1,43,17,0.9364052964374628,0.9872436699720805,0.7882922704385594,0.8766215725246308,0.004091968931918902,0.961291643036817,0.8288836539719932,1.0,0.00019116803670426305,0.00038226299694189603,0.0,0.9608636442272023,0.8762393095276889,0.9656882591093118,0.978215112607872,0.9859976662777129,0.982090971525173,0.45695364238410596,0.8191145109240731,81812,0.9817087085282311
xgb,CAM-LDS,CasinoLimit,2,44,17,0.9364163123223689,0.9872442839951865,0.7883307068455241,0.8766455804411011,0.004091968931918902,0.9612694379860338,0.8289818086637875,0.8333333333333334,0.0009558401835213152,0.0019094901661256445,3.947420360794221e-05,0.9607691095507185,0.8747360902749755,0.9657894736842105,0.9782174050299905,0.9861037445634878,0.9821447437929213,0.45695364238410596,0.817951864811772,81812,0.9802352536267956
xgb,CAM-LDS,CasinoLimit,3,45,17,0.9363281852431206,0.9872393701545722,0.7880232155898067,0.876453488372093,0.004091968931918902,0.9612517991170109,0.8288509357413951,0.0,0.0,0.0,0.0,0.9594206788382962,0.876453488372093,0.9177125506072874,0.9613324764353042,0.9520526148297443,0.9566700421041411,0.7969094922737306,0.7299059509449983,81812,0.9566700421041411
xgb,CAM-LDS,CasinoLimit,4,46,17,0.9365154552865231,0.9872029250457038,0.7887150709151709,0.8768668675084931,0.004107410324114822,0.961292383739337,0.8289272782794573,1.0,0.00044605875230994713,0.0008917197452229299,0.0,0.9607521565796963,0.8759751477632701,0.9658906882591093,0.978421052631579,0.9859976662777129,0.9821947482432504,0.45253863134657835,0.8197020394428571,81812,0.9813030284980274
xgb,CAM-LDS,CasinoLimit,5,47,17,0.9365925664808654,0.9872072332034819,0.7889841257639236,0.8770348216193121,0.004107410324114822,0.9612593723254678,0.8288509357413951,0.0,0.0,0.0,0.0,0.9606358368449457,0.8770348216193121,0.9673076923076923,0.9782517335574701,0.9876949188501114,0.9829506466086039,0.45695364238410596,0.7960608659875316,81812,0.9829506466086039
xgb,CAM-LDS,CasinoLimit,6,48,17,0.936460375861993,0.9872467394966071,0.7884844524733828,0.8767416018463117,0.004091968931918902,0.9613067200128694,0.8289163722025913,0.7142857142857143,0.0006372267890142102,0.0012733176290825746,5.263227147725628e-05,0.9605393695012574,0.8754682842172291,0.9652834008097166,0.977803492531033,0.9859976662777129,0.9818834838641526,0.46578366445916114,0.7945296388116327,81812,0.98061016623507
xgb,CAM-LDS,CasinoLimit,7,49,17,0.9364163123223689,0.9872442839951865,0.7883307068455241,0.8766455804411011,0.004091968931918902,0.9612621639074409,0.8288618418182612,1.0,6.372267890142101e-05,0.00012743723716069835,0.0,0.961447843826625,0.8765181432039404,0.9657894736842105,0.9783180717819177,0.9859976662777129,0.9821428571428571,0.45474613686534215,0.8087488124734952,81812,0.9820154199056964
xgb,CAM-LDS,CasinoLimit,8,50,17,0.9365154552865231,0.9872498075442648,0.7886766345082061,0.8768616055212496,0.004091968931918902,0.961292443684012,0.8288509357413951,0.0,0.0,0.0,0.0,0.9614368875739742,0.8768616055212496,0.9674089068825911,0.9783545234842913,0.9876949188501114,0.9830025337837838,0.45474613686534215,0.800200026648364,81812,0.9830025337837838
xgb,CAM-LDS,CasinoLimit,9,51,17,0.9363171693582145,0.9872387556582876,0.787984779182842,0.8764294722441913,0.004091968931918902,0.9612602308400472,0.8288509357413951,0.0,0.0,0.0,0.0,0.9652362304112828,0.8764294722441913,0.9673076923076923,0.9782517335574701,0.9876949188501114,0.9829506466086039,0.45695364238410596,0.8179680224314596,81812,0.9829506466086039
