model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
rf,CAM-LDS,CasinoLimit,0,42,17,0.9361849787393421,0.9859202306583373,0.7885997616942768,0.8762893202639502,0.004524327913404673,0.9605383019834047,0.8288509357413951,0.0,0.0,0.0,0.0,0.955040813919291,0.8762893202639502,0.929251012145749,0.9706643658326143,0.9547045719741168,0.9626183218353923,0.6004415011037527,0.6668771840594077,81812,0.9626183218353923
rf,CAM-LDS,CasinoLimit,1,43,17,0.9363281852431206,0.9858356940509915,0.7891763077987469,0.8766117325591325,0.004555210697796513,0.9606661906833932,0.8288509357413951,0.0,0.0,0.0,0.0,0.9748583255790408,0.8766117325591325,0.9653846153846154,0.9779063650710152,0.9859976662777129,0.9819353475596873,0.46357615894039733,0.7739059593750607,81812,0.9819353475596873
rf,CAM-LDS,CasinoLimit,2,44,17,0.9362951375884024,0.9858336534767576,0.789060998577853,0.876539783522982,0.004555210697796513,0.9606724430317071,0.8288509357413951,0.0,0.0,0.0,0.0,0.9782325134931382,0.876539783522982,0.9308704453441295,0.9766681203663323,0.950249283971571,0.9632775955696543,0.47240618101545256,0.7937226945008595,81812,0.9632775955696543
rf,CAM-LDS,CasinoLimit,3,45,17,0.9360968516600938,0.9859148158830882,0.7882922704385594,0.87609731092078,0.004524327913404673,0.9605427824027339,0.8288509357413951,0.0,0.0,0.0,0.0,0.948301611762195,0.87609731092078,0.9308704453441295,0.9765642031829083,0.950355362257346,0.9632815440030106,0.4746136865342163,0.7888070314214185,81812,0.9632815440030106
rf,CAM-LDS,CasinoLimit,4,46,17,0.9363281852431206,0.985929020794314,0.7890994349848176,0.876601195559351,0.004524327913404673,0.9606810379704428,0.8288509357413951,0.0,0.0,0.0,0.0,0.6277068854066284,0.876601195559351,0.5257085020242915,0.966725733412089,0.5208443831547682,0.6769612574107265,0.3730684326710817,0.5641540631378894,81812,0.6769612574107265
rf,CAM-LDS,CasinoLimit,5,47,17,0.935501993875168,0.9875229712738176,0.7848714302187032,0.8746118428097227,0.003983879186547459,0.9605840721168818,0.8288509357413951,0.0,0.0,0.0,0.0,0.9682751554850261,0.8746118428097227,0.9307692307692308,0.9765616483157091,0.950249283971571,0.9632258064516129,0.4746136865342163,0.7577820599372757,81812,0.9632258064516129
rf,CAM-LDS,CasinoLimit,6,48,17,0.9362070105091542,0.9859215837017106,0.7886766345082061,0.8763373123491853,0.004524327913404673,0.9606469217346657,0.8288509357413951,0.0,0.0,0.0,0.0,0.3837875198945135,0.8763373123491853,0.3119433198380567,0.9351208209202251,0.2996711573140978,0.45388817480719795,0.4326710816777042,0.4336466272373913,81812,0.45388817480719795
rf,CAM-LDS,CasinoLimit,7,49,17,0.9363612328978387,0.985837734037446,0.789291617019641,0.8766836723803019,0.004555210697796513,0.9606790571253625,0.8288509357413951,0.0,0.0,0.0,0.0,0.9517073520405307,0.8766836723803019,0.9182186234817814,0.9592880741767026,0.9548106502598918,0.9570441254651781,0.8432671081677704,0.707404240930248,81812,0.9570441254651781
rf,CAM-LDS,CasinoLimit,8,50,17,0.9362070105091542,0.9859215837017106,0.7886766345082061,0.8763373123491853,0.004524327913404673,0.9605933484069739,0.8288509357413951,0.0,0.0,0.0,0.0,0.3925419699037232,0.8763373123491853,0.31629554655870445,0.9360313315926893,0.3042325236024186,0.4592106316547914,0.4326710816777042,0.45816218550305576,81812,0.4592106316547914
rf,CAM-LDS,CasinoLimit,9,51,17,0.936140915199718,0.9859175237912141,0.7884460160664181,0.876193323793862,0.004524327913404673,0.9606647938537611,0.8288509357413951,0.0,0.0,0.0,0.0,0.940413051999404,0.876193323793862,0.9139676113360324,0.9591050208757093,0.950355362257346,0.9547101449275363,0.8432671081677704,0.5473648912720988,81812,0.9547101449275363
