strategy,n,accuracy,precision,recall,f1
llm,360,0.9611111111111111,0.9940828402366864,0.9655172413793104,0.9795918367346939
always_xgb,360,0.5888888888888889,0.9854368932038835,0.5833333333333334,0.7328519855595668
always_cnn,360,0.4111111111111111,0.9415584415584416,0.4166666666666667,0.5776892430278885
trust_more_confident,360,0.9583333333333334,0.9716713881019831,0.985632183908046,0.978601997146933
blend_at_0.5,360,0.9722222222222222,0.9720670391061452,1.0,0.9858356940509915
majority_class,360,0.9666666666666667,0.9666666666666667,1.0,0.9830508474576272
