technique,FN,TP,total,fn_rate
T1222,341,453,794,0.42947103274559195
T1059,1211,3790,5001,0.2421515696860628
T1548,696,7206,7902,0.08807896735003796
T1595,73,1923,1996,0.03657314629258517
