feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1.1564174763207298,2.7569965337963205
events_per_second,1.3504974657527544,1.1288990464723159
seq_length,1.733009708737864,1.6390814558058926
unique_syscalls,1.0533980582524272,1.0441941074523398
uid_is_root,0.33495145631067963,0.07365684575389948
uid_changed,0.0,0.0
euid_root,0.33495145631067963,0.37564991334488734
max_uid_euid_delta,0.0,302.2924610051993
auid_euid_mismatch,0.33495145631067963,0.9051126516464472
failed_call_rate,0.970873786407767,0.017456235473511682
failed_call_count,1.2718446601941749,0.04549393414211438
priv_op_count,0.043689320388349516,0.07842287694974004
exec_count,0.6019417475728155,0.8271230502599654
file_access_count,0.0,0.08405545927209705
network_count,0.0,0.0
shell_from_service,0.0,0.010398613518197574
sensitive_path_access,0.03398058252427184,0.0012998266897746968
