feature,rf_wrong_iforest_right_mean,rf_right_iforest_wrong_mean
lifetime_seconds,1.0,6.146535685782878
events_per_second,1.0184615384615385,0.9981511429065183
seq_length,1.0184615384615385,1.2824055666003975
unique_syscalls,1.003076923076923,1.0139165009940359
uid_is_root,0.31384615384615383,0.47783300198807155
uid_changed,0.0,0.0
euid_root,0.31384615384615383,0.7618290258449304
max_uid_euid_delta,0.0,285.2606361829026
auid_euid_mismatch,0.31384615384615383,0.7886679920477138
failed_call_rate,0.41384615384615386,0.07271431572952042
failed_call_count,0.42153846153846153,0.09075546719681908
priv_op_count,0.0,0.007654075546719682
exec_count,0.5784615384615385,0.9662027833001988
file_access_count,0.003076923076923077,0.09254473161033797
network_count,0.0,0.0
shell_from_service,0.0,0.00039761431411530816
sensitive_path_access,0.006153846153846154,0.0013916500994035786
