repeat,f1,auroc,fpr
0,0.910603622419283,0.9984089952650069,0.002842180057369931
1,0.7815835099210171,0.9980042705614939,0.0015658306797547304
2,0.9638922291917189,0.9986584798473447,0.0032501282945379423
3,0.8325045124691495,0.9986947134762376,0.00202636911497671
4,0.8393478659095073,0.923248659303784,0.0019345159762067694
5,0.9573237455057058,0.9987099750618146,0.0024868748273003593
6,0.689798290030713,0.9974096600953102,0.0012105422439768945
7,0.8616902524215909,0.9977512014401396,0.0014868812337166767
8,0.8079915401465367,0.9984177953785335,0.0011842261082382663
9,0.8113830905541373,0.9982046056821796,0.0018026790178688912
10,0.7460499742604839,0.9983179978982952,0.0018422022211695352
11,0.9876103945612809,0.997935079745925,0.0031711360825284877
12,0.951215489659267,0.9976879593929545,0.0027631942525559545
13,0.8404925963934907,0.9985335541610331,0.001644780125792784
14,0.9529993408042189,0.9985830952360817,0.0025000657912050317
