precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9535916249941581,0.7842564477072683,0.8606740625131818,0.015333302450548942,0.9386876761689795,0,xgb,90778
0.5344313761175694,0.9029480724141907,0.6714493954897534,0.3160080912895107,0.9299274120967322,1,xgb,90778
0.8105679914725141,0.8183879770919015,0.8144592139236875,0.07683636756689984,0.9437140368784283,2,xgb,90778
0.9786355292677952,0.7377099588730446,0.8412632317166714,0.006469943330090641,0.9399347025740517,3,xgb,90778
0.9574640287769784,0.8184648499058308,0.8825248150527385,0.014607557017340683,0.9384983438802694,4,xgb,90778
0.9236904035561754,0.8146596456163278,0.8657557747687029,0.027037877735056594,0.9461491554670414,5,xgb,90778
0.992129762933103,0.39731713879386554,0.5674058623339554,0.0012661941600654715,0.9423353630641864,6,xgb,90778
0.9677001388246183,0.8037821424453242,0.8781573477229303,0.010778091752752428,0.9575593700504783,7,xgb,90778
0.529164310754269,0.8992966137525464,0.6662774803508372,0.32145890273467054,0.941726166400921,8,xgb,90778
0.8438668877491998,0.8411423300149902,0.842502406159769,0.06252219700128163,0.9488230126268704,9,xgb,90778
0.957741280679092,0.7979398085866933,0.8705680078837565,0.014144315251463072,0.9404003824857241,10,xgb,90778
0.9567759855757517,0.7546604143444671,0.8437835747131377,0.01369651487778138,0.9371177319537851,11,xgb,90778
0.5335110601921212,0.9307375946496521,0.678243820460752,0.3269405969642223,0.9422515865229242,12,xgb,90778
0.9731638418079096,0.7944805319598723,0.8747910362485981,0.008801593551674619,0.9383480064929721,13,xgb,90778
0.9732402851691937,0.7450897490102625,0.8440187221073255,0.008230262040425564,0.9375173062428461,14,xgb,90778
