precision,recall,f1,fpr,auroc,repeat,model,n_total
0.986826117541728,0.9833046581278277,0.9850622406639005,0.0027105619810786985,0.9946400812185745,0,xgb,91692
0.985981308411215,0.9949659083667878,0.9904532335310349,0.0029210910669877233,0.9941995446121247,1,xgb,91692
0.9855484033825571,0.995157076403492,0.9903294333999175,0.003013197542072922,0.9937654558194721,2,xgb,91692
0.9841930757961292,0.8133562734977379,0.8906566185192938,0.0026974039132093845,0.9945609420600401,3,xgb,91692
0.9849191641638443,0.9821576499076021,0.9835364686363346,0.0031053040171581205,0.9985878910474452,4,xgb,91692
0.9841776642542927,0.8838972790416109,0.9313458891462718,0.0029342491348570377,0.9943764180384888,5,xgb,91692
0.9788349123160653,0.6188746574906009,0.7583056802654694,0.0027631942525559545,0.9981583048243751,6,xgb,91692
0.9853729273059706,0.995921748550309,0.990619255878811,0.003052671745680864,0.9944352838953592,7,xgb,91692
0.9852018233467662,0.9502963104568916,0.9674343172234836,0.0029474072027263517,0.9948177453196341,8,xgb,91692
0.984623472203969,0.9548206206588925,0.96949306072272,0.0030789878814194926,0.9938547504943533,9,xgb,91692
0.9781038900535756,0.5351430574141337,0.6917912599365706,0.0024737167594310453,0.9942044638999722,10,xgb,91692
0.984984984984985,0.9405467405849742,0.9622530803833366,0.0029605652705956657,0.9940592757349187,11,xgb,91692
0.9793374877008856,0.5708277575989295,0.721256038647343,0.0024868748273003593,0.9941391326214909,12,xgb,91692
0.9866836572156737,0.9868094054674058,0.9867465273352873,0.0027500361846866405,0.9941797785831978,13,xgb,91692
0.9863936413848848,0.9331549098324093,0.9590359867710141,0.002657929709601442,0.9945671228219911,14,xgb,91692
