precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9460525136660991,0.8115462966521889,0.873652632667839,0.018591436203888142,0.9390020687779836,0,xgb,90778
0.5306788949781903,0.9118653188299958,0.6709086281496563,0.32397584966260556,0.9367033177965699,1,xgb,90778
0.9674320063066614,0.7546988507514317,0.8479260682745665,0.010206760241503373,0.9429090576420084,2,xgb,90778
0.9761759626130245,0.7386324326401968,0.8409513598669671,0.00724201293988666,0.9369614057373394,3,xgb,90778
0.932380993114067,0.8379136718299574,0.8826268269970444,0.024412841061750127,0.9412590472235349,4,xgb,90778
0.9289808777840983,0.8160049198600915,0.8688356865152446,0.025061379533978783,0.9250562291587165,5,xgb,90778
0.9706141776147811,0.8036283968174655,0.8792632154421969,0.009774401260017603,0.9403257383079825,6,xgb,90778
0.9593555295950156,0.7575431448668178,0.8465883464702219,0.01289356248359352,0.9443848483585222,7,xgb,90778
0.5352543756234697,0.907445132029058,0.6733404634581105,0.31653309862417195,0.938506552739687,8,xgb,90778
0.8081764551159208,0.8266902409962716,0.8173285198555956,0.07882830716017356,0.9482749648738003,9,xgb,90778
0.9554993097100782,0.7980551178075873,0.8697090916706809,0.014931826253455011,0.9354183692623643,10,xgb,90778
0.9579151515151515,0.7593880924011224,0.8471763646498863,0.013403128426058893,0.9373881993602281,11,xgb,90778
0.93325572370974,0.8319560287504324,0.8796992481203008,0.023903275119284754,0.9243426444821442,12,xgb,90778
0.9708796858932411,0.7983626090633048,0.8762101621986459,0.009619987338058399,0.9196639035370477,13,xgb,90778
0.8037830816691022,0.7611177307145328,0.7818687935561566,0.07464368987507913,0.9346336528099037,14,xgb,90778
