precision,recall,f1,fpr,auroc,repeat,model,n_total
0.9556093992868245,0.8034362147826422,0.8729406360276462,0.014993591822238693,0.935961180165527,0,rf,90778
0.5347561946801975,0.9033324364838375,0.6718120229825916,0.3157301462299841,0.9323109545243036,1,rf,90778
0.5394748900293255,0.905062074797248,0.6760066030287806,0.31038742453019563,0.9497839705786737,2,rf,90778
0.9826162760884057,0.7365184302571396,0.8419526341227647,0.00523463195441701,0.9448365513679569,3,rf,90778
0.8520590335634373,0.8254987123803667,0.8385686117564375,0.057580951498587114,0.9350115235655126,4,rf,90778
0.9447896964784293,0.8063958181189222,0.8701242145864007,0.01893114683219839,0.9374019750620216,5,rf,90778
0.9675233531774842,0.7683437752238921,0.8565062770470029,0.010361174163462578,0.9478523638170981,6,rf,90778
0.9610111591892507,0.8109697505477188,0.8796381222379721,0.013217831719707848,0.9533314792385976,7,rf,90778
0.5320568610385843,0.9164008148518277,0.673236573106681,0.32379055295625453,0.941293622540561,8,rf,90778
0.9341376497359495,0.8362609063304762,0.8824937129877505,0.02368709562854187,0.9470380207476201,9,rf,90778
0.9538171102311447,0.7962101702732829,0.8679166230229391,0.015487716372508146,0.9355173310955524,10,rf,90778
0.9664343269563498,0.7514317561594342,0.8454785278726809,0.010484705301029941,0.9364016972611855,11,rf,90778
0.5934776074541629,0.9107122266210554,0.7186424227718718,0.25061379533978784,0.9461740075797145,12,rf,90778
0.9617071833302869,0.8089326209785909,0.8787290453226446,0.012939886660181282,0.9410849937048329,13,rf,90778
0.8160111814264084,0.80785640158358,0.8119133155637965,0.0731767576164667,0.9291730160763898,14,rf,90778
