feature,rf_wrong_xgb_right_mean,rf_right_xgb_wrong_mean
lifetime_seconds,265862.2761418539,879.6635406732115
events_per_second,4850.507441011236,7956.501419354839
seq_length,7.963483146067416,8.3218793828892
unique_syscalls,3.2907303370786516,3.140953716690042
uid_is_root,0.9662921348314607,1.0
uid_changed,0.056179775280898875,0.0035063113604488078
euid_root,0.9662921348314607,1.0
max_uid_euid_delta,1.5547752808988764,0.0
is_suid_exec,0.0014044943820224719,0.0
auid_euid_mismatch,0.13342696629213482,0.03716690042075736
ephemeral_privileged,0.8497191011235955,0.9971949509116409
failed_call_rate,0.8127581460674158,0.8591292426367462
failed_call_count,6.415730337078652,7.245441795231416
priv_op_count,0.12640449438202248,0.0
exec_count,1.8904494382022472,2.9572230014025247
file_access_count,0.37780898876404495,0.037868162692847124
network_count,0.11657303370786516,0.0
shell_from_service,0.0028089887640449437,0.0
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9851937359550562,0.9802657293127629
