feature,rf_wrong_iforest_right_mean,rf_right_iforest_wrong_mean
lifetime_seconds,63437.861101306335,22735.55523914569
events_per_second,4739.491546254333,4191.632153938986
seq_length,5.482271394294854,9.157334904998457
unique_syscalls,3.0762463343108504,3.917094664758216
uid_is_root,0.9936017062116769,1.0
uid_changed,0.052252732604638766,0.69231848671101
euid_root,0.9936017062116769,1.0
max_uid_euid_delta,2.751266328978939,0.0582358058993573
is_suid_exec,0.00026659557451346307,0.00011226179450478516
auid_euid_mismatch,0.07624633431085044,0.011815553871628639
ephemeral_privileged,0.9632098107171421,0.9446830007577671
failed_call_rate,0.7787149560117302,0.8165636384047599
failed_call_count,4.3615035990402555,7.486177766551599
priv_op_count,0.023993601706211676,0.008223176447475514
exec_count,1.4246867501999467,2.4890965732087227
file_access_count,0.08104505465209277,0.026437652605876907
network_count,0.021061050386563585,0.43147820717914176
shell_from_service,0.00026659557451346307,0.00011226179450478516
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9823682908557717,0.9423643846650389
