feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,130645.29657556627,23728.432974195097
events_per_second,3413.945343483104,3962.897174573169
seq_length,8.659858893427405,9.25450835658775
unique_syscalls,3.0824359450427035,3.9707144357427913
uid_is_root,0.9910880059413294,1.0
uid_changed,0.1084292610471593,0.7114651783838929
euid_root,0.9910880059413294,1.0
max_uid_euid_delta,2.9714073523950986,0.03342635100669127
is_suid_exec,0.0003713330857779428,0.00021003990758244065
auid_euid_mismatch,0.1864092090605273,0.020733939448495213
ephemeral_privileged,0.915336056442629,0.942269031115912
failed_call_rate,0.8569522465651691,0.8154379602124403
failed_call_count,7.548087634608244,7.551474780208239
priv_op_count,0.018937987374675083,0.009001710324961743
exec_count,3.0868919420720387,2.5163080985387225
file_access_count,0.08206461195692537,0.01812344345425631
network_count,0.0025993316004456,0.4614276712575389
shell_from_service,0.0,0.00012002280433282324
sensitive_path_access,0.0,0.0
parent_child_rarity,0.997178493130338,0.9392019545113571
