feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1043.3190183306638,96869.64423698725
events_per_second,4566.569390638903,4832.674081523613
seq_length,4.899092365189536,7.840399862116511
unique_syscalls,3.0452037729133297,3.1058255773871077
uid_is_root,1.0,0.9958634953464323
uid_changed,0.3021890016017085,0.3004136504653568
euid_root,1.0,0.9958634953464323
max_uid_euid_delta,0.400783057483538,0.34505342985177523
is_suid_exec,0.0005339028296849973,0.0001723543605653223
auid_euid_mismatch,0.09663641217298452,0.08324715615305067
ephemeral_privileged,0.997330485851575,0.9396759738021372
failed_call_rate,0.7717144331731625,0.8285211651154775
failed_call_count,3.8777362520021357,6.68166149603585
priv_op_count,0.0008898380494749955,0.017063081695966906
exec_count,1.3541555436910482,2.558772836952775
file_access_count,0.006406833956219968,0.1120303343674595
network_count,0.0,0.008962426749396759
shell_from_service,0.0,0.0001723543605653223
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9881652158747107,0.995936140985867
