feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,10683.30808204475,66759.7545233031
events_per_second,4439.966519919956,5423.604520018767
seq_length,4.945606694560669,8.030184548013763
unique_syscalls,3.0325632162998,3.083359399436972
uid_is_root,1.0,1.0
uid_changed,0.31180643987629614,0.2696277760400375
euid_root,1.0,1.0
max_uid_euid_delta,0.6110605784973622,0.31310603690960276
is_suid_exec,0.0007276696379843551,0.00015639662183296842
auid_euid_mismatch,0.09987265781335274,0.06990928995933687
ephemeral_privileged,0.9941786428961251,0.9587112918360964
failed_call_rate,0.7673773148990359,0.834457929308727
failed_call_count,3.8786610878661087,6.891304347826087
priv_op_count,0.005093687465890485,0.005004691898654989
exec_count,1.301073312716027,2.699405692837035
file_access_count,0.041113334546116063,0.09774788864560525
network_count,0.014735310169183191,0.00781983109164842
shell_from_service,0.00018191740949608878,0.0
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9871429710751319,0.9929069508914606
