feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
network_count,9428,39594,0.0,2.4162751932110926,0.0,1.0
shell_from_service,9428,39594,0.0,0.00030307622367025305,0.0,1.0
priv_op_count,9428,39594,0.000742469240560034,0.47598120927413246,0.0015598709068626755,0.9984401290931373
file_access_count,9428,39594,0.00615188799321171,0.6673738445218973,0.009218053784560415,0.9907819462154396
auid_euid_mismatch,9428,39594,0.058336868901145526,0.02967621356771228,1.9657787125718773,0.9657787125718773
max_uid_euid_delta,9428,39594,0.13279592702588036,2.9838359347375865,0.04450510347431656,0.9554948965256834
is_suid_exec,9428,39594,0.0003182011030971574,0.004369348891246148,0.07282574841635173,0.9271742515836483
lifetime_seconds,9428,39594,6309.903192299534,61336.1057612012,0.10287420621168501,0.897125793788315
uid_changed,9428,39594,0.212240135765804,0.7115724604738092,0.2982691820654236,0.7017308179345765
seq_length,9428,39594,4.933177768349597,16.016088296206497,0.30801389684633845,0.6919861031536616
failed_call_count,9428,39594,3.919282986847688,12.569581249684296,0.3118069654823327,0.6881930345176672
exec_count,9428,39594,1.4260712770470938,2.3978380562711523,0.5947321059974998,0.4052678940025002
unique_syscalls,9428,39594,3.022698345354264,4.228140627367783,0.7149001444722609,0.2850998555277391
events_per_second,9428,39594,4589.953186041579,3886.649197277366,1.1809538121569818,0.1809538121569818
ephemeral_privileged,9428,39594,0.9956512515910055,0.9108703338889731,1.0930768239427222,0.09307682394272221
parent_child_rarity,9428,39594,0.9973574328595672,0.9464420008082033,1.0537966742894813,0.05379667428948132
failed_call_rate,9428,39594,0.7736318519304201,0.807801485073496,0.9577004576316579,0.0422995423683421
uid_is_root,9428,39594,1.0,0.9992675657927969,1.0007329710602806,0.000732971060280585
euid_root,9428,39594,1.0,0.9992675657927969,1.0007329710602806,0.000732971060280585
sensitive_path_access,9428,39594,0.0,0.0,,
