feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
ephemeral_privileged,2047,39736,0.032730825598436736,0.9377390779142339,-4.2648056757208215,4.2648056757208215
lifetime_seconds,2047,39736,396964.21563849534,27230.925166876383,3.137951336562236,3.137951336562236
events_per_second,2047,39736,320.55457938446506,5956.679963861486,-1.671609077129236,1.671609077129236
unique_syscalls,2047,39736,3.6575476306790424,2.924048721562311,1.0412393818099528,1.0412393818099528
parent_child_rarity,2047,39736,0.9927417953102101,0.9336556149587276,0.5613946547406351,0.5613946547406351
seq_length,2047,39736,13.457254518808012,7.017037447151198,0.5600571498080453,0.5600571498080453
failed_call_rate,2047,39736,0.726410552027357,0.8072002692772299,-0.5404463577088258,0.5404463577088258
uid_changed,2047,39736,0.22081094284318514,0.04940104690960338,0.5178814627913311,0.5178814627913311
failed_call_count,2047,39736,8.289692232535417,5.976696194886249,0.36777461336181355,0.36777461336181355
file_access_count,2047,39736,0.4352711284807035,0.0,0.25613614528558865,0.25613614528558865
auid_euid_mismatch,2047,39736,0.0635075720566683,0.01482283068250453,0.25291728440480254,0.25291728440480254
exec_count,2047,39736,2.561797752808989,2.432605194282263,0.06210904360453062,0.06210904360453062
shell_from_service,2047,39736,0.0004885197850512946,0.0,0.03125763218963633,0.03125763218963633
max_uid_euid_delta,2047,39736,0.0,0.22654519830883832,-0.021285694111383747,0.021285694111383747
is_suid_exec,2047,39736,0.0,2.5166096235152005e-05,-0.00709451848051043,0.00709451848051043
uid_is_root,2047,39736,1.0,1.0,,
euid_root,2047,39736,1.0,1.0,,
priv_op_count,2047,39736,0.0,0.0,,
network_count,2047,39736,0.0,0.0,,
sensitive_path_access,2047,39736,0.0,0.0,,
