feature,xgb_wrong_iforest_right_mean,xgb_right_iforest_wrong_mean
lifetime_seconds,12226.061849917276,22937.061327965646
events_per_second,5764.302853226188,4183.138913834506
seq_length,6.097612857480501,9.1906941266209
unique_syscalls,3.032143701252659,3.9190891883492953
uid_is_root,1.0,1.0
uid_changed,0.03994327582131884,0.6971212249625675
euid_root,1.0,1.0
max_uid_euid_delta,2.1774994091231386,0.058620787072350765
is_suid_exec,0.0,0.00011300392688645931
auid_euid_mismatch,0.0517608130465611,0.011187388761759471
ephemeral_privileged,0.9910186717088159,0.9442325620815323
failed_call_rate,0.8001976601276294,0.8168268779840101
failed_call_count,5.062160245804774,7.515721671328079
priv_op_count,0.0016544552115339162,0.008475294516484448
exec_count,1.9071141574095958,2.5014266745769413
file_access_count,0.013708343181281021,0.025736644348391107
network_count,0.0,0.4344435969149928
shell_from_service,0.0,0.00014125490860807414
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9791981706452374,0.9418625420515863
