feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
ephemeral_privileged,4204,37579,0.9985727878211227,0.8816360201176189,0.5084634085244965,0.5084634085244965
lifetime_seconds,4204,37579,162.39578591817315,50399.18784318369,-0.5041609163388655,0.5041609163388655
parent_child_rarity,4204,37579,0.9791330002378685,0.9317865520104314,0.4382159100093931,0.4382159100093931
exec_count,4204,37579,1.8934348239771646,2.499960084089518,-0.40098621414388064,0.40098621414388064
failed_call_count,4204,37579,5.066603235014272,6.2045025147023605,-0.3190263725182129,0.3190263725182129
seq_length,4204,37579,6.106803044719315,7.469677213337237,-0.2963557385905431,0.2963557385905431
unique_syscalls,4204,37579,3.0268791627021883,2.9525000665265173,0.21713059954345504,0.21713059954345504
auid_euid_mismatch,4204,37579,0.05137963843958135,0.013385135314936533,0.2158679412835852,0.2158679412835852
uid_changed,4204,37579,0.03948620361560418,0.059847255115889196,-0.09381721657007282,0.09381721657007282
max_uid_euid_delta,4204,37579,1.9029495718363463,0.026663828201921286,0.06045465706722382,0.06045465706722382
events_per_second,4204,37579,5817.446307326356,5665.24564230022,0.04500371929285684,0.04500371929285684
failed_call_rate,4204,37579,0.8004822074215034,0.8035510551105672,-0.030536196682937063,0.030536196682937063
file_access_count,4204,37579,0.029971455756422453,0.020357114345778228,0.01317409983056963,0.01317409983056963
is_suid_exec,4204,37579,0.0,2.6610606987945394e-05,-0.007295287107159717,0.007295287107159717
shell_from_service,4204,37579,0.0,2.6610606987945394e-05,-0.007295287107159715,0.007295287107159715
uid_is_root,4204,37579,1.0,1.0,,
euid_root,4204,37579,1.0,1.0,,
priv_op_count,4204,37579,0.0,0.0,,
network_count,4204,37579,0.0,0.0,,
sensitive_path_access,4204,37579,0.0,0.0,,
