feature,n_FP,n_TN,FP_mean,TN_mean,cohens_d,abs_cohens_d
failed_call_rate,2531,39252,0.864218688265508,0.7993104758993173,0.6702583280084787,0.6702583280084787
auid_euid_mismatch,2531,39252,0.19596997234294744,0.005681239172526241,0.6659864551418085,0.6659864551418085
parent_child_rarity,2531,39252,0.9972676839193995,0.93263521509732,0.6113679653969349,0.6113679653969349
events_per_second,2531,39252,3702.6017348873966,5808.099594339143,-0.6052977628677172,0.6052977628677172
exec_count,2531,39252,3.2544448834452786,2.3863497401406297,0.5696844052149557,0.5696844052149557
failed_call_count,2531,39252,8.188858158830502,5.954677468664017,0.4993942005581582,0.4993942005581582
lifetime_seconds,2531,39252,8608.608274990123,47713.37522416692,-0.369875345259554,0.369875345259554
ephemeral_privileged,2531,39252,0.9778743579612801,0.8879547538978906,0.36536644378008226,0.36536644378008226
seq_length,2531,39252,9.435005926511261,7.196983593192703,0.3642478219103162,0.3642478219103162
unique_syscalls,2531,39252,3.085341762149348,2.9519005400998677,0.3017743239338054,0.3017743239338054
uid_changed,2531,39252,0.09403397866455947,0.05546214205645572,0.14704696820641985,0.14704696820641985
file_access_count,2531,39252,0.1710786250493876,0.011668195251197392,0.11252737672212808,0.11252737672212808
max_uid_euid_delta,2531,39252,3.1615962070327934,0.02547640884540915,0.07866010876148645,0.07866010876148645
is_suid_exec,2531,39252,0.0003951007506914263,0.0,0.028110522965303444,0.028110522965303444
shell_from_service,2531,39252,0.0003951007506914263,0.0,0.028110522965303444,0.028110522965303444
uid_is_root,2531,39252,1.0,1.0,,
euid_root,2531,39252,1.0,1.0,,
priv_op_count,2531,39252,0.0,0.0,,
network_count,2531,39252,0.0,0.0,,
sensitive_path_access,2531,39252,0.0,0.0,,
