feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
is_suid_exec,11633,37389,0.0,0.004707266843189173,0.0,1.0
shell_from_service,11633,37389,0.0,0.00032095001203562545,0.0,1.0
network_count,11633,37389,0.0006017364394395255,2.55858675011367,0.0002351831296760965,0.9997648168703239
priv_op_count,11633,37389,0.0043840797730594,0.5028751771911525,0.008718027796772573,0.9912819722032274
file_access_count,11633,37389,0.018997679016590732,0.70237235550563,0.02704787406234762,0.9729521259376523
max_uid_euid_delta,11633,37389,0.08596234849136078,3.166546310412153,0.027147036570632704,0.9728529634293673
seq_length,11633,37389,5.391816384423622,16.526999919762495,0.32624290013919877,0.6737570998608012
failed_call_count,11633,37389,4.3668873033611275,12.94046377276739,0.3374598762488745,0.6625401237511255
uid_changed,11633,37389,0.2593484053984355,0.726363368905293,0.35705050185735715,0.6429494981426429
lifetime_seconds,11633,37389,30911.121956760944,56926.96935149376,0.5429960932207932,0.45700390677920677
auid_euid_mismatch,11633,37389,0.022178285910771083,0.03923613897135521,0.5652514873332107,0.43474851266678927
events_per_second,11633,37389,5085.826644631652,3690.8889137981755,1.377940860159346,0.3779408601593459
exec_count,11633,37389,1.555402733602682,2.414908128059055,0.644083605305852,0.35591639469414804
unique_syscalls,11633,37389,3.0325797300782256,4.2961566236058735,0.705882023345067,0.294117976654933
ephemeral_privileged,11633,37389,0.9801426974984957,0.9106956591510872,1.0762571311827094,0.07625713118270938
parent_child_rarity,11633,37389,0.9951014860311184,0.9441411877825029,1.0539752940641278,0.05397529406412782
failed_call_rate,11633,37389,0.7849176480701453,0.8063052261360294,0.9734745883164152,0.0265254116835848
uid_is_root,11633,37389,0.9979369036362074,0.9998662708283185,0.9980703747607039,0.0019296252392960733
euid_root,11633,37389,0.9979369036362074,0.9998662708283185,0.9980703747607039,0.0019296252392960733
sensitive_path_access,11633,37389,0.0,0.0,,
