feature,n_FN,n_TP,FN_mean,TP_mean,FN_over_TP_ratio,abs_dev_from_1
priv_op_count,2321,13372,0.07798362774666093,0.014358360753813939,5.4312347407726564,4.4312347407726564
shell_from_service,2321,13372,0.01034037052994399,0.2411008076577924,0.04288816213598357,0.9571118378640164
failed_call_rate,2321,13372,0.004954760878931495,0.0632166716522086,0.07837743983407565,0.9216225601659244
uid_is_root,2321,13372,0.06548901335631194,0.4756954830990129,0.13767003405134462,0.8623299659486554
failed_call_count,2321,13372,0.00990952175786299,0.06939874364343404,0.14279108291610335,0.8572089170838967
euid_root,2321,13372,0.3657906074967686,0.6895004486987736,0.5305154016753568,0.4694845983246432
max_uid_euid_delta,2321,13372,300.5993106419647,214.75650613221657,1.399721554684347,0.3997215546843469
auid_euid_mismatch,2321,13372,0.8879793192589401,0.6817977864193838,1.3024086275233682,0.30240862752336817
seq_length,2321,13372,1.0900473933649288,1.3062369129524378,0.8344944033935896,0.1655055966064104
events_per_second,2321,13372,1.0892387266259218,1.2991236964366288,0.8384411196667405,0.1615588803332595
exec_count,2321,13372,0.8224903059026282,0.9691145677535148,0.8487028606011223,0.15129713939887768
unique_syscalls,2321,13372,1.011632916846187,1.0201166616811248,0.9916835542898037,0.008316445710196296
lifetime_seconds,2321,13372,1.0065700128539683,1.0045249775751885,1.0020358232243425,0.002035823224342481
uid_changed,2321,13372,0.0,0.0,,
file_access_count,2321,13372,0.027574321413183972,0.0,,
network_count,2321,13372,0.0,0.0,,
sensitive_path_access,2321,13372,0.0008616975441619991,0.0,,
