feature,cnn_wrong_iforest_right_mean,cnn_right_iforest_wrong_mean
lifetime_seconds,1.0009324720092034,6.155247336351265
events_per_second,1.0060273419668657,0.9938664241401545
seq_length,1.0072396698406259,1.2786020113511898
unique_syscalls,1.0008368094736975,1.0135417703873344
uid_is_root,0.00779754282309087,0.47834312456437317
uid_changed,0.0,0.0
euid_root,0.016634758022593857,0.7628198745394802
max_uid_euid_delta,8.845976341113971,285.7435029373693
auid_euid_mismatch,0.9691521598559674,0.7894055561087324
failed_call_rate,0.0019208581100784827,0.071733324797855
failed_call_count,0.002041307958565252,0.08961465697500746
priv_op_count,0.0027386491866465495,0.006870457034750572
exec_count,0.05209772920338274,0.9678382953300807
file_access_count,0.9414360157725907,0.08732450463009062
network_count,0.0,0.0
shell_from_service,0.02581430437042766,0.0003982873643333665
sensitive_path_access,0.0,0.00019914368216668326
