feature,rf_wrong_cnn_right_mean,rf_right_cnn_wrong_mean
lifetime_seconds,1.0,1.00093605620331
events_per_second,2.5,1.0066359822355975
seq_length,2.5,1.007852970000891
unique_syscalls,1.8333333333333333,1.0009418472934617
uid_is_root,0.3333333333333333,0.006592931054232585
uid_changed,0.0,0.0
euid_root,0.3333333333333333,0.015464114345352492
max_uid_euid_delta,0.0,8.87997810841426
auid_euid_mismatch,0.3333333333333333,0.9716809428655068
failed_call_rate,0.5,0.00039568067932794923
failed_call_count,1.0,0.0005472896434980717
priv_op_count,0.0,0.002850997212641118
exec_count,0.0,0.049905178887347426
file_access_count,0.0,0.9457292316307958
network_count,0.0,0.0
shell_from_service,0.0,0.025913528236327303
sensitive_path_access,0.3333333333333333,0.0001527319935343456
