feature,xgb_wrong_cnn_right_mean,xgb_right_cnn_wrong_mean
lifetime_seconds,1.0311549314310853,1.0005540777865831
events_per_second,2.0228544363480827,1.006628349479513
seq_length,2.0422535211267605,1.0068599501094537
unique_syscalls,1.1267605633802817,1.0008909026116173
uid_is_root,0.9859154929577465,0.006630860866466426
uid_changed,0.0,0.0
euid_root,0.9859154929577465,0.015501705442142239
max_uid_euid_delta,0.0,8.879639057170493
auid_euid_mismatch,0.9859154929577465,0.9716820241307336
failed_call_rate,0.9014084507042254,0.00043384711212795455
failed_call_count,1.7746478873239437,0.0005854502876342717
priv_op_count,0.04225352112676056,0.0027745252761798094
exec_count,1.7464788732394365,0.049903273430738686
file_access_count,0.0,0.9456931222318383
network_count,0.0,0.0
shell_from_service,0.0,0.025912538817899507
sensitive_path_access,0.0,0.00015272616199154916
