direction,variant,auroc,f1_raw,f1_recalibrated,fpr_recalibrated
camlds_to_casino,baseline_17feat,0.006236227345294753,0.0002827854365500177,0.008267937219730941,0.0011551565310210707
camlds_to_casino,unified_schema_missingness,0.006186544439324451,0.0008480565371024735,0.008987501755371437,0.0006433783210750267
