fold,flat_f1,weighted_f1,routed_pct,avg_stage2_weight,degenerate,flat_fpr,flat_fnr,weighted_fpr,weighted_fnr
0,,,,,True,,,,
1,0.990095007074995,0.990095007074995,0.008287260113417074,0.31174471974372864,False,0.0026248476650908652,0.0,0.0026248476650908652,0.0
2,0.975659924580048,0.975659924580048,0.0,0.0,False,0.005892255892255892,0.04303967720242097,0.005892255892255892,0.04303967720242097
3,0.9686977299880526,0.996072996072996,6.39715681919147,0.9542602896690369,False,0.021052631578947368,0.059833024118738365,0.17894736842105263,0.0
4,0.9982285208148804,0.9982285208148804,0.0,0.0,False,0.18181818181818182,0.0,0.18181818181818182,0.0
