fold,routed_pct,avg_stage2_weight,flat_f1,flat_fpr,flat_fnr,weighted_f1,weighted_fpr,weighted_fnr,degenerate
0,17.177060133630288,0.6692007780075073,0.7554361514566367,0.25,0.2095924104005622,0.8301286549707603,0.08132267441860465,0.22066057624736468,False
1,66.33138440194233,0.8348278999328613,0.6716965459957085,0.006661662600863202,0.49055018899622005,0.6718804069485778,0.006661662600863202,0.4903401931961361,False
2,4.055351595594465,0.41277599334716797,0.9799306637829586,0.12982273201251304,0.024197124216127186,0.9800564380608136,0.1548488008342023,0.021029961360613192,False
3,4.718268668356405,0.6255898475646973,0.9620706106870229,0.1962809917355372,0.030761836097092043,0.9620615604867573,0.1952479338842975,0.03100216294160063,False
4,56.321483771251934,0.2550707161426544,0.8683862433862434,0.02686649630499344,0.19605682096497679,0.8695537364668603,0.02734995510739692,0.19348518246387458,False
