fold,routed_pct,cnn_f1,cnn_fpr,cnn_fnr,mlp_f1,mlp_fpr,mlp_fnr,degenerate
0,17.177060133630288,0.820103068412841,0.07950581395348837,0.23814125087842586,0.7482726264608035,0.23909883720930233,0.22944483485593814,False
1,66.33138440194233,0.6721561029615278,0.006661662600863202,0.4900251994960101,0.6673427991886409,0.8324263464064553,0.03275934481310372,False
2,4.055351595594465,0.9796540231709252,0.14911366006256518,0.02248685627414959,0.9801832651637655,0.15380604796663191,0.02090327484639265,False
3,4.718268668356405,0.9629541108986616,0.18388429752066116,0.03172314347512617,0.9625911318274172,0.18491735537190082,0.03220379716414323,False
4,56.321483771251934,0.8042654028436019,0.13302023620415773,0.16874846926279696,0.8193587416817907,0.10995234477519165,0.17070781288268433,False
