fold,cnn_f1,mlp_f1,routed_pct,degenerate,cnn_fpr,cnn_fnr,mlp_fpr,mlp_fnr
0,,,,True,,,,
1,0.990095007074995,0.990095007074995,0.008287260113417074,False,0.0026248476650908652,0.0,0.0026248476650908652,0.0
2,0.975659924580048,0.975659924580048,0.0,False,0.005892255892255892,0.04303967720242097,0.005892255892255892,0.04303967720242097
3,0.9958429561200923,0.9958429561200923,6.39715681919147,False,0.18947368421052632,0.0,0.18947368421052632,0.0
4,0.9982285208148804,0.9982285208148804,0.0,False,0.18181818181818182,0.0,0.18181818181818182,0.0
