fold,f1,auroc,fpr,pct_routed_to_stage2,degenerate
0,,,,,True
1,0.990095007074995,0.9985349801428375,0.0026248476650908652,0.008287260113417074,False
2,0.975659924580048,0.9988624759135856,0.005892255892255892,0.0,False
3,0.9958429561200923,0.9933429352602284,0.18947368421052632,6.39715681919147,False
4,0.9982285208148804,0.998487537307413,0.18181818181818182,0.0,False
