model,train_dataset,test_dataset,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
iforest,CAM-LDS,CasinoLimit,17,0.5293541104564726,0.8023669777735014,0.17010729876382033,0.2807035260456114,0.0491587487734246,0.5862739561282388,0.1711490642586049,0.1711490642586049,1.0,0.29227545746612654,1.0,0.23841953126746437,-0.011571931420515158
iforest,CasinoLimit,CAM-LDS,17,0.9809252715613139,0.8997248022015824,1.0,0.9472159348121322,0.02301346070343031,0.9812142714448294,0.5398601398601398,0.5398601398601398,1.0,0.701180744777475,1.0,0.5804338936661873,0.24603519003465713
