model,train_dataset,test_dataset,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,17,0.7822256483673806,0.9935202996861395,0.6005262943168374,0.748579202319047,0.0045951702845654935,0.9422494549353084,0.11628059154560921,0.12163398617111222,0.6692155738227235,0.20585295097712528,0.9978947091409097,0.18256121521928187,0.5427262513419217
cnn,CasinoLimit,CAM-LDS,17,0.996695458709593,0.9856728098964908,0.995157076403492,0.9903922376890636,0.0029868814063342937,0.9991837860084734,0.5725345520621111,0.5601258365538694,0.9697482762841173,0.710099033563864,0.8934973553837685,0.5135734652936147,0.28029320412519965
