model,train_dataset,test_dataset,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
rf,CAM-LDS,CasinoLimit,17,0.865150597434062,0.9954465849387041,0.75366162131288,0.8578427388926942,0.004044707177560252,0.9569133852584917,0.828785499280199,0.0,0.0,0.0,7.894840721588442e-05,0.006318184231710049,0.8578427388926942
rf,CasinoLimit,CAM-LDS,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993913418892166,0.5382192610539067,0.5391064533921677,0.996899351311656,0.6997823472134715,0.9999282004643036,0.5247894202262726,0.29128146913690267
