n_estimators,max_samples,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
50,64,0.2032015065360316,0.021767716463644178,0.49769047235361014,0.011174339340723255,0.04705262905966542
50,128,0.23876874009972768,0.006357575610222218,0.4980993098276099,0.017516091394427204,0.04812962209511046
50,256,0.2508805469325511,0.01473344577500678,0.5106427744602396,0.00748021033799787,0.08277688693168674
50,512,0.2696515723955734,0.017480529320906463,0.5014886312247913,0.017655353762055542,0.08496278390733074
100,64,0.2348863155700648,0.01129632899436022,0.5082343359955789,0.009880581823952638,0.04516190795299524
100,128,0.24888168997189233,0.0039970001749112995,0.5095859176079819,0.017373374550316907,0.04562461607192717
100,256,0.25661997210687315,0.01080061508966867,0.511475113048971,0.0055331479093447995,0.04599956920278583
100,512,0.2720207004004487,0.012714055181900368,0.4969971255700211,0.02399101977241184,0.09448818897637795
200,64,0.23494053390150427,0.004915593077831375,0.5119087510119625,0.01253957890294705,0.0449145984411523
200,128,0.24447990777865866,0.008028821376993766,0.5165975652727615,0.019630175393371568,0.045808103774262254
200,256,0.25609976437898535,0.010634040466420611,0.5131466679273239,0.005737737175481082,0.04682127500019945
200,512,0.2762394222244946,0.002978405626556404,0.5030547353460225,0.02678015313392671,0.04852053067834605
400,64,0.2275774488673842,0.005635862266405719,0.5192677935660085,0.00943161221115816,0.04586394785758163
400,128,0.2523930815672643,0.002117142308385461,0.515812997107303,0.013705424626319773,0.04624687871462876
400,256,0.2592077370780006,0.006993484946690122,0.5100918211059954,0.007746451399452632,0.04546506154815755
400,512,0.2907773463837684,0.012205463290734022,0.5123198505396124,0.011757254550371203,0.04936616965432513
