max_depth,n_estimators,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
4.0,100,0.8583982191951346,0.0212520705633429,0.929984299388309,0.02249001131753767,0.04855244158309998
4.0,300,0.8708673476569668,0.002752233665457673,0.9320300131563092,0.020195145275390937,0.05144037846333038
4.0,500,0.8685819109683859,0.0030086145635436516,0.9330192316751601,0.01953918732209688,0.05092182626107907
8.0,100,0.8755081283719521,0.0016395442349242065,0.9466758439582783,0.005899065484612324,0.02935803237361287
8.0,300,0.8769430565135806,0.0009881427604889637,0.9473348750625247,0.004548588356613619,0.027985863469194013
8.0,500,0.8767203863111112,0.0006916742183697962,0.9459029312276724,0.007225321347096374,0.027315734469361544
12.0,100,0.8741171689465093,0.011994193751931151,0.9416640577458045,0.007079813777594908,0.04787433485707903
12.0,300,0.8723523422564933,0.010765566612934707,0.9394832808228174,0.0063912129086256065,0.04669363138118374
12.0,500,0.8705825847220119,0.009820655987974264,0.9394829590090695,0.006352210201450351,0.05420864945073355
20.0,100,0.8744189124993681,0.01016170298473096,0.9408658356455045,0.011189823124641281,0.04912683786867067
20.0,300,0.8602952557953517,0.009855406992203185,0.9386860181424663,0.01199514414895961,0.05249343832020997
20.0,500,0.8636279994880115,0.014035868351661637,0.9410154802586983,0.008538730244590781,0.04823333253556072
,100,0.8747706513873608,0.011249668066141283,0.9403800630417037,0.017006123904735267,0.05014798682079633
,300,0.8730330368409968,0.012127192445669892,0.9395216203538538,0.012364240419631656,0.04678936409544552
,500,0.8634583102620654,0.013832621587778805,0.9415638111767165,0.008856350182391125,0.04828917661888008
