max_depth,n_estimators,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
4.0,100,0.9888152902550283,0.003177042325275611,0.997545710528693,0.001968048123133193,0.003004425496826713
4.0,300,0.9875910093235545,0.002781765322782119,0.9975613099339493,0.002126469346701174,0.002938635157480142
4.0,500,0.9875802266647605,0.0027960021286663928,0.9975801371589516,0.0019895207840332067,0.002938635157480142
8.0,100,0.9893708599112269,0.002046279826358836,0.9985825259744652,0.0004528028453648215,0.0029254770896108284
8.0,300,0.9894014660100386,0.002020034455777247,0.9987208887359323,0.0003223841120693266,0.0028947749312490958
8.0,500,0.9893907917731358,0.002011520298039554,0.9988013433099688,0.0003512870081742222,0.0028947749312490958
12.0,100,0.9893708599112269,0.002046279826358836,0.9986560623545305,0.00033084708425643424,0.0029254770896108284
12.0,300,0.9894014660100386,0.002020034455777247,0.9987222579530884,0.00032067271340878933,0.0028947749312490958
12.0,500,0.9894121191591477,0.0020317753736962584,0.9987949200912137,0.00035879130795491256,0.0028947749312490958
20.0,100,0.9893708599112269,0.002046279826358836,0.9986560623545305,0.00033084708425643424,0.0029254770896108284
20.0,300,0.9894014660100386,0.002020034455777247,0.9987222579530884,0.00032067271340878933,0.0028947749312490958
20.0,500,0.9894121191591477,0.0020317753736962584,0.9987949200912137,0.00035879130795491256,0.0028947749312490958
,100,0.9893708599112269,0.002046279826358836,0.9986560623545305,0.00033084708425643424,0.0029254770896108284
,300,0.9894014660100386,0.002020034455777247,0.9987222579530884,0.00032067271340878933,0.0028947749312490958
,500,0.9894121191591477,0.0020317753736962584,0.9987949200912137,0.00035879130795491256,0.0028947749312490958
