technique,FN,TP,total,fn_rate
T1222,234,560,794,0.2947103274559194
T1059,1211,3790,5001,0.2421515696860628
T1548,691,7211,7902,0.08744621614781069
T1595,75,1921,1996,0.037575150300601205
