feature,rf_wrong_mlp_right_mean,rf_right_mlp_wrong_mean
lifetime_seconds,1.0,1.0
events_per_second,1.0422535211267605,1.0407407407407407
seq_length,1.0422535211267605,1.0407407407407407
unique_syscalls,1.0211267605633803,1.0083333333333333
uid_is_root,0.07746478873239436,0.03194444444444444
uid_changed,0.0,0.0
euid_root,0.07746478873239436,0.35185185185185186
max_uid_euid_delta,0.0,320.2273148148148
auid_euid_mismatch,0.07746478873239436,0.912962962962963
failed_call_rate,0.9366197183098591,0.012268518518518519
failed_call_count,0.9436619718309859,0.016666666666666666
priv_op_count,0.0,0.001388888888888889
exec_count,0.0,0.8814814814814815
file_access_count,0.0,0.0
network_count,0.0,0.0
shell_from_service,0.0,0.0
sensitive_path_access,0.0,0.0
