feature,mlp_wrong_iforest_right_mean,mlp_right_iforest_wrong_mean
lifetime_seconds,1.0,6.141935544639562
events_per_second,1.1196615632554392,0.9986493691170497
seq_length,1.1196615632554392,1.2826497169530242
unique_syscalls,1.016921837228042,1.0143013208858873
uid_is_root,0.07373086220789686,0.47810110239348497
uid_changed,0.0,0.0
euid_root,0.35213537469782435,0.7618432813586254
max_uid_euid_delta,278.6829170024174,285.0056609395173
auid_euid_mismatch,0.8404512489927478,0.7886582580196643
failed_call_rate,0.05801772763900081,0.07274863603525429
failed_call_count,0.06285253827558421,0.09087297646240937
priv_op_count,0.0040290088638195,0.007647234084814778
exec_count,0.8428686543110395,0.9652398450690237
file_access_count,0.00040290088638195,0.09246201211639686
network_count,0.0,0.0
shell_from_service,0.0,0.00039725891349687157
sensitive_path_access,0.0008058017727639,0.0013904061972390505
