feature,rf_wrong_iforest_right_mean,rf_right_iforest_wrong_mean
lifetime_seconds,1.0,5.686404177928166
events_per_second,1.018348623853211,1.1683021344845155
seq_length,1.018348623853211,1.4278837420526793
unique_syscalls,1.003058103975535,1.0173478655767485
uid_is_root,0.3180428134556575,0.43669391462306995
uid_changed,0.0,0.0
euid_root,0.3180428134556575,0.6961852861035422
max_uid_euid_delta,0.0,260.6468664850136
auid_euid_mismatch,0.3180428134556575,0.8069936421435059
failed_call_rate,0.41131498470948014,0.06080890247402139
failed_call_count,0.41896024464831805,0.07166212534059946
priv_op_count,0.0,0.006902815622161671
exec_count,0.5749235474006116,0.8715712988192552
file_access_count,0.009174311926605505,0.2620345140781108
network_count,0.0,0.0
shell_from_service,0.0,0.00036330608537693006
sensitive_path_access,0.0061162079510703364,0.0012715712988192551
