feature,xgb_wrong_mlp_right_mean,xgb_right_mlp_wrong_mean
lifetime_seconds,1.1587290646407404,1.0
events_per_second,1.3507511228821052,1.0412227883279297
seq_length,1.7389162561576355,1.0412227883279297
unique_syscalls,1.0541871921182266,1.0083371931449745
uid_is_root,0.35960591133004927,0.030569708198239925
uid_changed,0.0,0.0
euid_root,0.35960591133004927,0.35062528948587307
max_uid_euid_delta,0.0,320.3756368689208
auid_euid_mismatch,0.35960591133004927,0.9119962945808244
failed_call_rate,0.9408866995073891,0.012274201018990273
failed_call_count,1.2463054187192117,0.01760074108383511
priv_op_count,0.04433497536945813,0.0013895321908290875
exec_count,0.6108374384236454,0.8818897637795275
file_access_count,0.0,0.0
network_count,0.0,0.0
shell_from_service,0.0,0.0
sensitive_path_access,0.0,0.0009263547938860583
