feature,xgb_wrong_iforest_right_mean,xgb_right_iforest_wrong_mean
lifetime_seconds,1.0997585143098152,6.179486694575406
events_per_second,1.0253946685605801,0.9919368244937549
seq_length,1.2693498452012384,1.2780112044817926
unique_syscalls,1.0309597523219813,1.0141056422569028
uid_is_root,0.3157894736842105,0.47438975590236093
uid_changed,0.0,0.0
euid_root,0.3157894736842105,0.7602040816326531
max_uid_euid_delta,0.0,287.0870348139256
auid_euid_mismatch,0.3157894736842105,0.7872148859543817
failed_call_rate,0.40092879256965946,0.06687735256492351
failed_call_count,0.4024767801857585,0.07893157262905162
priv_op_count,0.02786377708978328,0.007703081232492998
exec_count,0.5820433436532507,0.959983993597439
file_access_count,0.0030959752321981426,0.09313725490196079
network_count,0.0,0.0
shell_from_service,0.0,0.00040016006402561027
sensitive_path_access,0.0,0.0014005602240896359
