dataset,model,TN,FP,FN,TP,n_total,precision,recall,fpr
camlds,rf,38173,3610,9308,39714,90805,0.9166743606315206,0.8101260658479866,0.08639877462125745
camlds,xgb,37579,4204,9428,39594,90805,0.904013881912416,0.8076781853045572,0.10061508268913194
camlds,mlp,36716,5067,9357,39665,90805,0.8867253867477422,0.8091265146260862,0.12126941579111122
camlds,iforest,39760,2023,42085,6937,90805,0.77421875,0.14150789441475256,0.04841682023789579
