dataset,model,TN,FP,FN,TP,n_total,precision,recall,fpr
casino,rf,75788,211,195,15498,91692,0.9865682093067668,0.9875740776142229,0.002776352320425269
casino,xgb,75793,206,262,15431,91692,0.986826117541728,0.9833046581278277,0.0027105619810786985
casino,mlp,75790,209,303,15390,91692,0.9866017052375152,0.9806920282928694,0.0027500361846866405
casino,iforest,74677,1322,9767,5926,91692,0.8176048565121413,0.37762059516982094,0.0173949657232332
