feature,xgb_wrong_iforest_right_mean,xgb_right_iforest_wrong_mean
lifetime_seconds,12185.740332391048,21466.542630338987
events_per_second,5769.61490647821,4210.275961521845
seq_length,6.110482921083628,9.103482042567899
unique_syscalls,3.0313309776207302,3.8985628294115955
uid_is_root,1.0,1.0
uid_changed,0.04051825677267373,0.6947380547795282
euid_root,1.0,1.0
max_uid_euid_delta,2.179505300353357,0.057688430632758275
is_suid_exec,0.0007067137809187279,0.0
auid_euid_mismatch,0.05418138987043581,0.012182828835575012
ephemeral_privileged,0.9910482921083628,0.9475245528642608
failed_call_rate,0.8007316136631332,0.8161920566803952
failed_call_count,5.0765606595995285,7.4359897468390885
priv_op_count,0.0016489988221436984,0.007257855476512773
exec_count,1.9133097762073028,2.466922035655655
file_access_count,0.013663133097762074,0.025748106333342933
network_count,0.0,0.4256213818726419
shell_from_service,0.0,8.640304138705682e-05
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9791820424028269,0.9473220518706258
