feature,rf_wrong_mlp_right_mean,rf_right_mlp_wrong_mean
lifetime_seconds,52648.76516487214,12260.347911366245
events_per_second,4386.990038358008,6634.806052123996
seq_length,5.256729475100942,10.936165327210103
unique_syscalls,3.0437415881561236,3.0231917336394947
uid_is_root,0.9919246298788694,1.0
uid_changed,0.6278600269179004,0.3602755453501722
euid_root,0.9919246298788694,1.0
max_uid_euid_delta,3.4720726783310902,1.8397244546498277
is_suid_exec,0.00033647375504710633,0.0013777267508610792
auid_euid_mismatch,0.18304172274562583,0.08128587830080368
ephemeral_privileged,0.971399730820996,0.982089552238806
failed_call_rate,0.7706507738896367,0.8193834672789898
failed_call_count,4.128532974427995,8.57313432835821
priv_op_count,0.03263795423956931,0.0
exec_count,1.3714670255720054,2.3967853042479907
file_access_count,0.08748317631224764,1.3517795637198622
network_count,0.027927321668909825,0.001148105625717566
shell_from_service,0.0,0.0
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9966952876850605,0.9850295267508609
