feature,rf_wrong_iforest_right_mean,rf_right_iforest_wrong_mean
lifetime_seconds,63286.01516170213,21274.02676855508
events_per_second,4751.351688297873,4218.8975237768245
seq_length,5.49281914893617,9.069899856938484
unique_syscalls,3.076063829787234,3.896881258941345
uid_is_root,0.9936170212765958,1.0
uid_changed,0.05292553191489362,0.6899570815450644
euid_root,0.9936170212765958,1.0
max_uid_euid_delta,2.755053191489362,0.057310443490701
is_suid_exec,0.0010638297872340426,0.0
auid_euid_mismatch,0.07739361702127659,0.012646638054363377
ephemeral_privileged,0.9632978723404255,0.9479542203147353
failed_call_rate,0.7792110904255319,0.8159132160228898
failed_call_count,4.373404255319149,7.4060944206008585
priv_op_count,0.02446808510638298,0.007067238912732475
exec_count,1.4303191489361702,2.454391988555079
file_access_count,0.08058510638297872,0.026437768240343346
network_count,0.02101063829787234,0.4227181688125894
shell_from_service,0.00026595744680851064,5.7224606580829754e-05
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9823086061170212,0.9477889139341918
