feature,xgb_wrong_mlp_right_mean,xgb_right_mlp_wrong_mean
lifetime_seconds,11545.839576897248,32724.084383877158
events_per_second,4443.449417394225,5812.072553331504
seq_length,4.896239086635326,11.074307650123389
unique_syscalls,3.066823371390195,3.0482588428845627
uid_is_root,1.0,1.0
uid_changed,0.6185359301544661,0.43323279407732385
euid_root,1.0,1.0
max_uid_euid_delta,3.0933512424445935,2.1968741431313408
is_suid_exec,0.0,0.0016451878256100905
auid_euid_mismatch,0.1722632639355272,0.1000822593912805
ephemeral_privileged,0.9949630624580256,0.9695640252262133
failed_call_rate,0.769621457353929,0.8016284891691802
failed_call_count,3.8462055070517125,8.433232794077323
priv_op_count,0.0023505708529214238,0.0
exec_count,1.3102753525856279,2.0271455991225666
file_access_count,0.028206850235057087,1.6248971757608994
network_count,0.0,0.0013709898546750755
shell_from_service,0.0,0.0005483959418700301
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9963354768300874,0.9866496446394297
