feature,mlp_wrong_iforest_right_mean,mlp_right_iforest_wrong_mean
lifetime_seconds,19626.31655175004,20274.860760037296
events_per_second,5649.832479044615,4150.391480857833
seq_length,8.613789995493466,8.821796840719614
unique_syscalls,3.0405588102748986,3.859998903027644
uid_is_root,1.0,1.0
uid_changed,0.2516148415202043,0.7099330846862659
euid_root,1.0,1.0
max_uid_euid_delta,0.9091182214210606,8.22729267222466e-05
is_suid_exec,0.0013519603424966202,0.0
auid_euid_mismatch,0.06985128436232538,0.02210399297937692
ephemeral_privileged,0.9818236442842121,0.9503894251864853
failed_call_rate,0.7967817785789396,0.8121014863975428
failed_call_count,6.707525912573232,7.184757569109259
priv_op_count,0.0,0.006910925844668714
exec_count,1.8996544990235842,2.3773310662571303
file_access_count,0.8927444794952681,0.025696577446248356
network_count,0.0007510890791647889,0.40527643703378674
shell_from_service,0.0001502178158329578,5.484861781483107e-05
sensitive_path_access,0.0,0.0
parent_child_rarity,0.9818660066095839,0.9499890027150066
