max_depth,learning_rate,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
3,0.01,0.9802287932684202,0.014847540491379414,0.9942874150104949,0.00020422994275084408,0.002886002886002886
3,0.05,0.9884977957929934,0.0030596058516605584,0.9941574325902846,0.000398611450857947,0.0028947749312490958
3,0.1,0.9823221240212595,0.01127017533837615,0.9942059872553731,0.0003427902048003968,0.0029123190217415144
3,0.2,0.9823884100487229,0.011232040314437515,0.9981335679418595,0.00044007984090515737,0.0029167050443646187
6,0.01,0.9802908284267121,0.014321202168970489,0.9943767240790655,0.00033804297594564145,0.002872844818133572
6,0.05,0.9886149691982844,0.0030773757728598766,0.9942016938833905,0.00043731666068651443,0.0028816168633797813
6,0.1,0.9892303051966197,0.0018856113415946546,0.9942024044844557,0.0003240991954838583,0.002894774931249095
6,0.2,0.98555600308223,0.008214220820929888,0.9981665068515787,0.00046220783144226575,0.0029035469764953047
9,0.01,0.9802908284267121,0.014321202168970489,0.9943773459423383,0.0003374489147758579,0.002872844818133572
9,0.05,0.9885933711016012,0.003114777296027791,0.9942023425776175,0.00043665619403203117,0.0028816168633797813
9,0.1,0.9892198414003713,0.001874900392243878,0.9954680440938714,0.001939444478706622,0.0028991609538722
9,0.2,0.9856521138338973,0.008294706361949924,0.9981665294901968,0.00046195050446861974,0.0029035469764953047
