max_depth,learning_rate,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
3,0.01,0.8207691326922415,0.03509472982590149,0.9183404257454267,0.013099546302970805,0.13017255821745685
3,0.05,0.8476026845744428,0.017521491398279267,0.9395223946597002,0.004411749642919623,0.07413700946956099
3,0.1,0.8624230644500993,0.005420439132289553,0.9344528557764823,0.006454111358372242,0.05754333899751893
3,0.2,0.8600339084375733,0.011524119502464434,0.930610569039355,0.00727464364523819,0.05708063087858698
6,0.01,0.8642039298760595,0.011314422067287097,0.9316098191965612,0.0031449960243574836,0.05743165083088019
6,0.05,0.8221122466962266,0.06991602778573179,0.9355319268092694,0.0047740386683085565,0.06414889628158182
6,0.1,0.8632081629492747,0.010325123182075877,0.9346875891650898,0.008561228917838884,0.060008456389759796
6,0.2,0.8109048736143879,0.10354681900085441,0.9322495011170052,0.007470178096634181,0.04160384207293238
9,0.01,0.8723853162717311,0.0018215918064282777,0.9330504122946081,0.0050573282765035785,0.047260049940565936
9,0.05,0.8700262144778673,0.0010009871952417029,0.9391637976413687,0.0062786583248228365,0.042601057846492596
9,0.1,0.8015782583797381,0.09663369589838794,0.9331087105433996,0.01443826482026064,0.04272072373931982
9,0.2,0.8428064690818524,0.0021108139419553024,0.9198187879789673,0.01792434988879765,0.037343736288283115
