max_depth,n_estimators,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
4.0,100,0.8580215871630655,0.020892373024733506,0.9299742049332123,0.02248105541962821,0.04840086478551883
4.0,300,0.8708714548255919,0.0027566846937751585,0.9320288890458354,0.020198996187247357,0.05144037846333038
4.0,500,0.868319282694565,0.0032964273105749817,0.9330203060692748,0.019540946322354515,0.05055485085640891
8.0,100,0.8760289734385341,0.0016222621870483154,0.9459971974313971,0.006023397904960886,0.029334099195047425
8.0,300,0.8762082074654504,0.0018487835179155274,0.9467081083292572,0.004178726175375202,0.02775450940972804
8.0,500,0.8760893529147654,0.0015922905896467712,0.9462337626766165,0.006544266990177815,0.027180113124157353
12.0,100,0.873949942177419,0.013079180408129549,0.9421716375232152,0.007157355427737041,0.04986876640419948
12.0,300,0.8736691286968353,0.011744801819426212,0.9407021786677451,0.004423102150823827,0.04918268195199004
12.0,500,0.8733632202196158,0.013127494610718415,0.940898539245462,0.0046301117520394335,0.04705262905966542
20.0,100,0.862444749261574,0.014371697113933681,0.940235556219573,0.010288020131770931,0.05593183830744561
20.0,300,0.8743112120013139,0.010994128495798738,0.9392412587393276,0.012443094897320957,0.04905503833297434
20.0,500,0.8744808269728189,0.011046687582991358,0.9410046197160078,0.008608110219841588,0.04892739471395863
,100,0.8639159121422512,0.014213283440314113,0.939297442863014,0.014800819119733698,0.04782646849994814
,300,0.8747120214781433,0.01100233098020961,0.9382852170615861,0.011119522840170827,0.049406058285267535
,500,0.8739059937890742,0.010381402383802895,0.9394766406375603,0.012085711236455118,0.04826524344031464
