n_estimators,max_samples,f1_mean,f1_std,auroc_mean,auroc_std,fpr_mean
50,64,0.749511464446487,0.28069636217773203,0.9479592405355292,0.07936440313559767,0.0025526651666469297
50,128,0.8021660777418723,0.23071849673509656,0.9476556461871386,0.07869620209952659,0.004868485111646206
50,256,0.7850043525067559,0.2241661034149834,0.8932824027983873,0.08702796173760924,0.006767632907450537
50,512,0.793486900774044,0.24327143885787492,0.8912030708879516,0.08673092163128773,0.011877349263367502
100,64,0.7600704050484817,0.27263793335232217,0.9491341919373545,0.07738399568729884,0.002644771641732128
100,128,0.8029854663211206,0.22969280008966367,0.8646378508200043,0.22290178503422287,0.004662342048360285
100,256,0.8010309241358754,0.23186762084827062,0.8587260479484122,0.22039393401992452,0.006991320061228876
100,512,0.7838762223491235,0.2388087981762657,0.8355094252125571,0.2038472355690598,0.016087930981548006
200,64,0.7590367009054108,0.27175118254373654,0.9505057931355682,0.07504581231662219,0.0025658232345162437
200,128,0.803375580291083,0.23002778593944742,0.8969078329772323,0.08460846023965898,0.004671114093606495
200,256,0.8010213676044513,0.23186829086228614,0.8677483575269687,0.04143313951555854,0.0069869340386057716
200,512,0.7842458784630559,0.23888218127844452,0.9186191908038347,0.06657288753530069,0.016201967569748725
400,64,0.7581227367659321,0.2711052982537112,0.9505441398801012,0.07505334255738705,0.002574595279762453
400,128,0.802013297853683,0.2320188251784345,0.8658019565071225,0.22100291234964195,0.004714974319837542
400,256,0.8010547134227162,0.23186851907630165,0.8060731879057746,0.18940739544438814,0.006982548015982667
400,512,0.7938522724666529,0.24413125878714884,0.8657633571044329,0.04131581347277342,0.012276477322070026
